Front	JP訳	Label	説明
profusion	豊富	語源／語根	pro（前）＋[ラテン] fus（注ぐ）＋ion（名詞）
abstain	控える	語法	abstain from（〜を控える）【頻出】
preside	司会をする	語法	preside over（〜を司会する）【準頻出】
predominant	支配的な	語源／語根	pre（前）＋[ラテン] domin（支配）＋ant（性質）
bizarre	奇妙な	語源／語根	bizarr（奇）＋[フランス] e（性質）
bewilder	当惑させる	語法	bewilder someone with（〜で当惑させる）【準頻出】
deplore	嘆く	語法	deplore the loss（損失を嘆く）【準頻出】
oxidize	酸化する	語源／語根	oxid（酸素）＋[ギリシャ] ize（する）
embark	乗り出す	語法	embark on a journey（旅に乗り出す）【準頻出】
skelton	骨格	語源／語根	skel（骨）＋[ギリシャ] eton（小さい）
authenticate	認証する	語法	authenticate a document（文書を認証する）【準頻出】
futile	無益な	語法	futile attempt（無益な試み）【準頻出】
plead	嘆願する	語法	plead for mercy（慈悲を嘆願する）【準頻出】
mend	修理する	語法	mend a fence（フェンスを修理する）【準頻出】
sluggish	怠惰な	語呂合わせ	「スラッグを引いて怠ける」
spawn	産む	語法	spawn new ideas（新しいアイデアを生む）【準頻出】
indispensable	不可欠な	語法	be indispensable to（〜に不可欠である）【頻出】
yield	産出する	語法	yield results（結果を産出する）【頻出】
gum	歯茎	語法	chew gum（ガムを噛む）【準頻出】
veto	拒否権	語法	exercise a veto（拒否権を行使する）【準頻出】
contemporary	現代の	語源／語根	con（共に）＋[ラテン] tempor（時間）＋ary（性質）
psychiatrist	精神科医	語源／語根	psycho（心）＋[ギリシャ] iatrist（医者）
liability	責任	語法	liability for damages（損害賠償責任）【準頻出】
seismology	地震学	語源／語根	seismo（地震）＋[ギリシャ] logy（学問）
ordinance	条例	語源／語根	ordin（順序）＋[ラテン] ance（名詞）
herbicide	除草剤	語源／語根	herbi（草）＋[ラテン] cide（殺す）
rookery	繁殖地	語法	bird rookery（鳥の繁殖地）【準頻出】
appendix	付録	語源／語根	append（付け加える）＋[ラテン] ix（名詞）
topography	地形学	語源／語根	topo（場所）＋[ギリシャ] graphy（記述）
derive	由来する	語法	derive from（〜に由来する）【頻出】
mediate	仲介する	語法	mediate between（〜の間を仲介する）【準頻出】
coagulate	凝固する	語源／語根	co（共に）＋[ラテン] agul（集める）＋ate（する）
anonymity	匿名性	語源／語根	an（否定）＋[ギリシャ] onym（名）＋ity（性質）
unwarranted	不当な	語法	unwarranted criticism（不当な批判）【準頻出】
coniferous tree	針葉樹	語源／語根	coni（円錐）＋[ラテン] fer（運ぶ）＋ous（多い）
makeshift	間に合わせの	語法	makeshift solution（間に合わせの解決策）【準頻出】
tangle	もつれる	語法	tangle with（〜と争う）【準頻出】
taper	先細りになる	語法	taper off（次第に減少する）【準頻出】
redundant	余剰の	語源／語根	re（再び）＋[ラテン] unda（波）＋-ant
replicate	複製する	語源／語根	re（再び）＋[ラテン] plicare（折る）＋-ate
procession	行列	語源／語根	pro（前に）＋[ラテン] cedere（進む）＋-ion
celestial	天の	語源／語根	caelum（天）＋-ial
sophistication	洗練	語源／語根	sophos（賢い）＋-ication
dine	食事する	語法	【準頻出】
reservation	予約	語法	【頻出】
heredity	遺伝	語源／語根	hered（相続人）＋-ity
aberration	逸脱	語源／語根	ab（離れて）＋[ラテン] errare（さまよう）＋-ion
marital	結婚の	語源／語根	marit（結婚）＋-al
exert	（力を）発揮する	語法	【準頻出】
illusive	錯覚の	語源／語根	in（中に）＋[ラテン] ludere（遊ぶ）＋-ive
stockpile	備蓄	語法	【準頻出】
greenback	ドル紙幣	語源／語根	green（緑）＋back（背）
coercion	強制	語源／語根	co（共に）＋[ラテン] arcere（閉じ込める）＋-ion
offshore	沖の	語法	【準頻出】
lapse	失効	語源／語根	labi（滑る）＋-se
whistle	口笛を吹く	語法	【準頻出】
audit	監査	語源／語根	audire（聞く）＋-it
plenitude	豊富	語源／語根	plenus（満ちた）＋-itude
tow	牽引する	語法	【準頻出】
jurisdiction	管轄	語源／語根	juris（法）＋[ラテン] dicere（言う）＋-tion
dissident	反対者	語源／語根	di（離れて）＋[ラテン] sedere（座る）＋-ent
dismiss	解雇する	語法	【頻出】
enlightenment	啓蒙	語源／語根	en（中に）＋light（光）＋-ment
evergreen	常緑の	語法	【準頻出】
levity	軽薄	語源／語根	levis（軽い）＋-ity
wharf	埠頭	語源／語根	war（守る）＋f
virtual	仮想の	語源／語根	virtus（力）＋-al
descend	降下する	語源／語根	de（下に）＋[ラテン] scandere（登る）
outlook	見通し	語法	【頻出】
defame	中傷する	語源／語根	de（下に）＋[ラテン] fama（名声）
energize	活性化する	語法	【準頻出】
seismic	地震の	語源／語根	seismos（震え）＋-ic
authentic	本物の	語源／語根	authent（真正）＋-ic
buoy	浮かせる	語法	【準頻出】
ardor	熱意	語源／語根	ardere（燃える）＋-or
siege	包囲	語源／語根	sedere（座る）＋-ge
mirage	蜃気楼	語源／語根	mirare（驚く）＋-age
transparent	透明な	語源／語根	trans（通して）＋[ラテン] parere（現れる）＋-ent
assessment	評価	語法	【頻出】
credence	信頼	語源／語根	credere（信じる）＋-ence
flux	流動	語源／語根	fluere（流れる）＋-x
lumber	材木	語法	【準頻出】
solitary	孤独な	語源／語根	solitarius（一人の）＋-ary
hinder	妨げる	語法	【頻出】
constraint	制約	語法	【頻出】
practical	実用的な	語法	【頻出】
divergent	分岐する	語源／語根	di（離れて）＋[ラテン] vergere（曲がる）＋-ent
integrate	統合する	語法	【頻出】
anomaly	異常	語源／語根	an（なし）＋[ギリシャ] homalos（平ら）
proximity	近接	語源／語根	proximus（最も近い）＋-ity
affluence	富裕	語源／語根	ad（〜に）＋[ラテン] fluere（流れる）＋-ence
amicable	友好的な	語源／語根	amicus（友人）＋-able
repent	後悔する	語法	【準頻出】
conversion	転換	語法	【頻出】
diurnal	昼間の	語源／語根	diurnus（日中）＋-al
genetics	遺伝学	語源／語根	genesis（起源）＋-ics
ordeal	試練	語源／語根	ordal（判断）＋-de
incubate	孵化する	語法	【準頻出】
cumbersome	厄介な	語源／語根	cumber（妨げ）＋-some
adhere	付着する	語法	【頻出】
delete	削除する	語法	【頻出】
maternal	母の	語源／語根	mater（母）＋-nal
spark	火花	語源／語根	sparc（輝く）＋-k
thorax	胸郭	語源／語根	thōrax（胸）＋-x
preclude	排除する	語源／語根	pre（前に）＋[ラテン] claudere（閉じる）
exacerbate	悪化させる	語源／語根	ex（外に）＋acerbus（鋭い）＋-ate
erratic	不規則な	語源／語根	erraticus（さまよう）＋-ic
petty	些細な	語源／語根	petit（小さい）＋-y
latency period	潜伏期間	語法	【頻出】
faction	派閥	語源／語根	factio（行動）＋-ion
excerpt	抜粋	語法	【準頻出】
woe	悲哀	語源／語根	wa（悲しみ）＋-o
equivocal	曖昧な	語源／語根	equi（等しい）＋[ラテン] vocare（呼ぶ）＋-al
afflict	苦しめる	語法	【頻出】
eradicate	根絶する	語源／語根	e（外に）＋radix（根）＋-ate
despise	軽蔑する	語法	【頻出】
riverbed	川底	語法	【準頻出】
rudimentary	初歩的な	語源／語根	rudimentum（基礎）＋-ary
wilderness	荒野	語源／語根	wild（野生）＋-ness
static	静的な	語源／語根	stasis（停止）＋-tic
frontier	辺境	語法	【準頻出】
benign	良性の	語源／語根	bene（良い）＋genus（生まれ）
intermittent	断続的な	語源／語根	inter（間に）＋[ラテン] mittere（送る）＋-ent
onlooker	見物人	語法	【準頻出】
spiral	螺旋	語源／語根	spira（渦）＋-al
evasion	回避	語源／語根	evadere（逃げる）＋-ion
boost	増加させる	語法	【頻出】
remorse	後悔	語源／語根	re（再び）＋mordere（かむ）＋-se
cite	引用する	語法	【頻出】
missing	行方不明の	語法	【頻出】
oust	追い出す	語法	【頻出】
purchasing power	購買力	語法	【頻出】
manipulate	操る	語法	【頻出】
overwhelm	圧倒する	語法	【頻出】
concession	譲歩	語源／語根	con（共に）＋[ラテン] cedere（進む）＋-ion
prone	〜しがちな	語法	【頻出】
tariff	関税	語法	【頻出】
collaborate	協力する	語法	【頻出】
demystify	〜を解明する	語源／語根	de（除く）＋[ギリシャ] myst（秘）＋-ify（化）
utmost	最大限の	語源／語根	ut（外へ）＋most（最も）
itchy	かゆい	語呂合わせ	いつもかゆくてかきむしる
perspective	観点	語源／語根	per（通して）＋[ラテン] spect（見る）＋-ive（性質）
exhaustive	徹底的な	語源／語根	ex（外へ）＋haust（汲む）＋-ive（性質）
testimony	証言	語源／語根	test（証）＋[ラテン] mony（状態）
cuisine	料理	語源／語根	cuis（台所）＋-ine（の）
integral	不可欠な	語源／語根	integr（完全）＋-al（に関する）
requisite	必要な	語源／語根	re（再び）＋quis（求める）＋-ite（性質）
opportunist	日和見主義者	語源／語根	opportune（適切な）＋-ist（人）
legislation	立法	語源／語根	leg（法律）＋[ラテン] lat（運ぶ）＋-ion（状態）
congruence	一致	語源／語根	con（共に）＋gru（適する）＋-ence（状態）
grope	手探りする	語法	grope for（〜を手探りする）【頻出】
sympathy	同情	語源／語根	sym（共に）＋path（感情）＋-y（性質）
don	着用する	同義語	put on（着る）
ratify	批准する	語源／語根	rati（計算）＋-fy（化）
tantalize	じらす	語源／語根	Tantalus（神話の人物）
stipulate	〜を規定する	語法	stipulate that（〜と規定する）【頻出】
pregnant	妊娠した	語源／語根	pre（前）＋gnant（生む）
clumsy	不器用な	語呂合わせ	クラムジーな動きで不器用に見える
resonant	共鳴する	語源／語根	re（再び）＋son（音）＋-ant（性質）
controversial	議論を呼ぶ	語源／語根	contro（反対）＋vers（向く）＋-ial（に関する）
exquisite	非常に美しい	語源／語根	ex（外へ）＋quisit（探す）＋-e（もの）
avalanche	雪崩	語源／語根	aval（下降）＋anche（雪）
multitude	多数	語源／語根	multi（多く）＋-tude（状態）
preface	序文	語源／語根	pre（前）＋fac（言う）＋-e（もの）
enigma	謎	語源／語根	enig（謎）＋-ma（もの）
bureaucracy	官僚制度	語源／語根	bureau（事務）＋cracy（支配）
per capita	一人当たり	語法	per capita income（一人当たりの収入）【頻出】
orientation	適応指導	語源／語根	orient（東）＋-ation（状態）
successive	連続する	語源／語根	suc（後に）＋cess（行く）＋-ive（性質）
interim	暫定的な	語源／語根	inter（間）＋-im（状態）
averse	嫌って	語源／語根	a（反対）＋vers（向く）＋-e（性質）
subsidiary	補助的な	語源／語根	sub（下）＋sidi（座る）＋-ary（に関する）
startle	驚かせる	語法	startle A into B（Aを驚かせてBにする）【頻出】
hefty	重い	語源／語根	heft（持ち上げる）
incontrovertible	明白な	語源／語根	in（否定）＋contro（反対）＋vert（向く）＋-ible（可能）
prolific	多産の	語源／語根	pro（前に）＋lif（生）＋-ic（性質）
stereotype	固定観念	語源／語根	stereo（固い）＋type（型）
perpetual	永続的な	語源／語根	per（完全に）＋pet（求める）＋-ual（性質）
stray	迷う	語法	stray away from（〜から迷う）【頻出】
dogmatic	独断的な	語源／語根	dogma（教義）＋-tic（に関する）
embezzle	横領する	語源／語根	em（中に）＋bezzle（盗む）
statistics	統計	語源／語根	stat（立つ）＋istics（学問）
unleash	解き放つ	語法	unleash a campaign（キャンペーンを展開する）【頻出】
diligence	勤勉	語源／語根	dilig（選ぶ）＋-ence（状態）
inhibit	抑制する	語法	inhibit A from B（AをBから抑制する）【頻出】
mountain lion	ピューマ	語源／語根	mountain（山）＋lion（ライオン）
visionary	先見の明がある	語源／語根	vis（見る）＋ion（もの）＋-ary（に関する）
preponderance	優勢	語源／語根	pre（前に）＋ponder（重さ）＋-ance（状態）
canine	犬の	語源／語根	can（犬）＋-ine（に関する）
pliable	柔軟な	語源／語根	pli（曲げる）＋-able（可能）
provincial	地方の	語源／語根	provinc（州）＋-ial（に関する）
smuggle	密輸する	語源／語根	smug（密かな）＋-le（反復）
thorn	とげ	語源／語根	th（刺す）＋orn（もの）
subsidize	補助金を出す	語源／語根	sub（下）＋sid（座る）＋-ize（化）
credential	資格証明書	語源／語根	cred（信じる）＋ent（もの）＋-ial（に関する）
stagnant	停滞した	語源／語根	stag（立つ）＋-nant（状態）
disruption	混乱	語源／語根	dis（離れる）＋rupt（破る）＋-ion（状態）
token	しるし	語源／語根	tok（触れる）＋-en（もの）
induce	誘発する	語法	induce A to do（Aに〜させる）【頻出】
glimpse	ちらりと見る	語法	get a glimpse of（〜をちらりと見る）【頻出】
sanction	制裁	語源／語根	sanct（神聖）＋-ion（状態）
impulse	衝動	語源／語根	im（中に）＋puls（押す）＋-e（もの）
luminary	著名人	語源／語根	lumin（光）＋-ary（に関する）
rehabilitate	〜を回復させる	語源／語根	re（再び）＋habilit（適する）＋-ate（化）
rhetoric	修辞	語源／語根	rhetor（語る）＋-ic（学問）
gastric ulcer	胃潰瘍	語源／語根	gastric（胃の）＋ulcer（潰瘍）
equilibrium	均衡	語源／語根	equi（等しい）＋libr（平衡）＋-ium（状態）
subsequent	後の	語源／語根	sub（後）＋sequ（続く）＋-ent（性質）
underpin	支える	語源／語根	under（下）＋pin（固定する）
illusion	錯覚	語源／語根	il（中に）＋lus（遊ぶ）＋-ion（状態）
sporadic	散発的な	語源／語根	spor（種）＋-adic（性質）
founder	創設者	語源／語根	found（基礎）＋-er（人）
exemplify	〜を例証する	語法	exemplify A with B（BでAを例証する）【頻出】
idiosyncrasy	特異性	語源／語根	idio（個人）＋syn（共に）＋crasy（混合）
Uranus	天王星	語源／語根	Uranus（ギリシャ神話の神）
austere	質素な	語源／語根	aust（厳しい）＋-ere（性質）
condolence	哀悼	語源／語根	con（共に）＋dol（悲しむ）＋-ence（状態）
skeptic	懐疑論者	語源／語根	skept（見る）＋-ic（人）
ambiguous	あいまいな	語源／語根	ambi（両方）＋igu（動く）＋-ous（性質）
practitioner	開業者	語源／語根	pract（行う）＋-itioner（人）
lubricate	〜を滑らかにする	語源／語根	lubr（滑らか）＋-icate（化）
revenue	収益	語源／語根	re（再び）＋ven（来る）＋-ue（もの）
purge	〜を一掃する	語源／語根	pur（清い）＋-ge（行動）
traumatic	心的外傷の	語源／語根	trauma（傷）＋-tic（に関する）
convene	召集する	語源／語根	con（共に）＋vene（来る）
legacy	遺産	語源／語根	leg（法律）＋-acy（状態）
peer	同輩	語源／語根	peer（同等）
squall	突風	語源／語根	squ（吹く）＋all（全て）
pretentious	うぬぼれた	語源／語根	pre（前）＋tent（張る）＋-ious（性質）
obsolete	廃れた	語源／語根	ob（完全に）＋sol（慣れる）＋-ete（性質）
autonomous	自治の	語源／語根	auto（自己）＋nom（法）＋-ous（性質）
legitimate	合法の	語源／語根	legit（法律）＋-imate（に関する）
definitive	決定的な	語源／語根	de（完全に）＋finit（終わる）＋-ive（性質）
novelty	新奇さ	語源／語根	nov（新しい）＋-elty（状態）
maritime	海の	語源／語根	marit（海）＋-ime（に関する）
alert	警戒した	語法	be alert to（〜に警戒する）【頻出】
recede	後退する	語源／語根	re（後ろへ）＋cede（行く）
consequently	結果として	語源／語根	con（共に）＋sequ（続く）＋-ently（に関する）
acquire	〜を取得する	語源／語根	ad（〜の方へ）＋[ラテン]quire（求）
extravagant	贅沢な	語源／語根	extra（外へ）＋[ラテン]vagari（さまよう）
seep	漏れる	語法	seep into〜（〜に染み込む）【頻出】
glitter	輝く	同義語	sparkle（輝く）
additive	添加物	語源／語根	ad（〜の方へ）＋[ラテン]dare（与）
agenda	議題	語源／語根	agere（行う）＋-nda（こと）
intriguing	興味をそそる	語呂合わせ	「犬トリックに興味津々」
massacre	虐殺	語源／語根	mass（多く）＋[フランス]acre（殺）
censor	検閲する	語呂合わせ	「検閲で先生、さあどうする？」
outgoing	社交的な	同義語	sociable（社交的）
fortress	要塞	語源／語根	fort（強い）＋ress（場所）
gloomy	陰鬱な	同義語	dismal（陰鬱な）
concede	認める	語法	concede that〜（〜と認める）【頻出】
universala	普遍的な	語源／語根	uni（1つ）＋[ラテン]versus（向かう）
lieu	代わりに	語法	in lieu of〜（〜の代わりに）【頻出】
preeminent	卓越した	語源／語根	pre（前に）＋[ラテン]eminere（突出）
inflate	膨らませる	語源／語根	in（中に）＋[ラテン]flare（膨らます）
incomprehensible	理解不能な	語呂合わせ	「インコ、複雑すぎて理解不能」
momentum	勢い	語源／語根	movere（動く）＋-mentum（こと）
barren	不毛の	同義語	arid（不毛）
pertinent	関連する	語法	pertinent to〜（〜に関連する）【頻出】
elated	大喜びした	同義語	ecstatic（大喜び）
mob	群衆	同義語	crowd（群衆）
jellyfish	クラゲ	語源／語根	jelly（ゼリー）＋fish（魚）
havoc	大混乱	語法	play havoc with〜（〜を大混乱にする）【頻出】
eclectic	折衷的な	語源／語根	ec（外に）＋[ギリシャ]lektos（選ぶ）
obstinate	頑固な	同義語	stubborn（頑固）
standstill	停止	語法	at a standstill（停止して）【頻出】
fervor	熱情	同義語	zeal（熱情）
tuberculosis	結核	語源／語根	tuber（結節）＋culosis（病気）
incisive	鋭い	同義語	keen（鋭い）
nautical	船の	語源／語根	naut（船）＋ical（に関する）
deplete	〜を消耗させる	語法	deplete resources（資源を消耗する）【頻出】
defendant	被告	語源／語根	defend（防ぐ）＋ant（人）
improbable	ありそうもない	同義語	unlikely（ありそうもない）
decay	腐敗する	同義語	rot（腐る）
nectar	蜜	語源／語根	nek（死）＋tar（越えるもの）
concise	簡潔な	同義語	brief（簡潔）
ascendancy	優位	語源／語根	ascend（上る）＋ancy（状態）
lean	傾く	語法	lean against〜（〜に寄りかかる）【頻出】
gargle	うがいをする	語法	gargle with〜（〜でうがいする）【頻出】
abolish	廃止する	語法	abolish a law（法律を廃止する）【頻出】
devastate	〜を壊滅させる	語法	devastate an area（地域を壊滅させる）【頻出】
shudder	身震いする	語法	shudder at〜（〜に身震いする）【頻出】
illiterate	読み書きのできない	語源／語根	il（否定）＋literate（読み書きできる）
wedge	くさび	同義語	splinter（くさび）
living standard	生活水準	語法	high living standard（高い生活水準）【準頻出】
hypothetical	仮定の	語源／語根	hypo（下に）＋thetical（置かれた）
plateau	高原	語源／語根	plat（平ら）＋eau（場所）
dismal	陰鬱な	同義語	gloomy（陰鬱な）
parameter	パラメータ	語源／語根	para（横に）＋meter（測るもの）
phobia	恐怖症	語源／語根	phobos（恐怖）＋ia（病気）
posterity	後世	語源／語根	post（後）＋erity（状態）
saturate	〜を飽和させる	語法	saturate with〜（〜で飽和させる）【頻出】
compensate	補償する	語法	compensate for〜（〜を補償する）【頻出】
fanaticism	狂信	語源／語根	fanatic（狂信者）＋ism（主義）
provision	供給	語源／語根	pro（前に）＋vision（見る）
cease	〜をやめる	語法	cease to do（〜するのをやめる）【頻出】
presumption	推定	語源／語根	pre（前に）＋sumere（取る）
suffocate	窒息する	語法	suffocate in〜（〜で窒息する）【頻出】
sore	痛い	語法	sore throat（喉の痛み）【頻出】
mystical	神秘的な	同義語	spiritual（神秘的）
forbearance	忍耐	語源／語根	for（前に）＋bear（耐える）
imaginable	考えられる	語法	the worst imaginable（考えられる最悪の）【頻出】
monumental	記念碑的な	語源／語根	monument（記念碑）＋al（性質）
pueblo	プエブロ族の村	語源／語根	pueblo（村）＋[スペイン]語
haphazard	でたらめな	語源／語根	hap（偶然）＋hazard（危険）
precede	〜に先行する	語法	precede by〜（〜が先行する）【頻出】
soothe	〜を和らげる	語法	soothe a pain（痛みを和らげる）【頻出】
prompt	〜を促す	語法	prompt someone to〜（〜するよう促す）【頻出】
depict	〜を描く	語法	depict as〜（〜として描く）【頻出】
reservoir	貯水池	語源／語根	re（再び）＋servare（保存）
propriety	礼儀正しさ	語源／語根	proprius（適当）＋ity（状態）
speculate	推測する	語法	speculate about〜（〜について推測する）【頻出】
quota	割当	語源／語根	quot（どれだけ）＋a（もの）
footnote	脚注	語源／語根	foot（下）＋note（注）
outnumber	〜を数で上回る	語法	outnumber by〜（〜に数で上回る）【頻出】
curtail	〜を削減する	語法	curtail expenses（経費を削減する）【頻出】
restless	落ち着かない	語法	feel restless（落ち着かないと感じる）【頻出】
augment	〜を増加させる	語法	augment with〜（〜で増加させる）【頻出】
contingency	偶発	語法	contingency plan（非常用計画）【頻出】
benevolent	慈善的な	語源／語根	bene（良い）＋volent（望む）
scorch	〜を焦がす	語法	scorching heat（焼けつくような暑さ）【頻出】
burrow	穴を掘る	語法	burrow into〜（〜に穴を掘る）【頻出】
terminate	〜を終わらせる	語法	terminate a contract（契約を終わらせる）【頻出】
wax	ワックス	同義語	polish（ワックス）
salient	顕著な	同義語	notable（顕著）
perplex	〜を困惑させる	語法	perplex with〜（〜で困惑させる）【頻出】
provoke	〜を引き起こす	語法	provoke a reaction（反応を引き起こす）【頻出】
compatible	両立できる	語法	compatible with〜（〜と両立できる）【頻出】
divert	〜を逸らす	語法	divert attention（注意を逸らす）【頻出】
temporary	一時的な	同義語	transient（一時的）
lagoon	潟	語源／語根	lago（湖）＋oon（場所）
plague	疫病	語源／語根	plaga（打撃）＋ue（病）
elaborate	精巧な	語法	elaborate on〜（〜について詳述する）【頻出】
consolidate	〜を統合する	語法	consolidate power（権力を統合する）【頻出】
inert	不活発な	同義語	inactive（不活発）
precise	正確な	同義語	accurate（正確）
vowel	母音	語源／語根	vocare（呼ぶ）＋el（小さい）
irrelevant	無関係な	語法	irrelevant to〜（〜に無関係）【頻出】
trough	谷	紛らわしい語	紛らわしい語 tough（頑丈な）
valid	妥当な	語源／語根	val（価値）＋-id（形容詞化）
incentive	動機	語源／語根	in（中へ）＋cent（歌）＋-ive（性質）
pathetic	哀れな	語源／語根	path（感情）＋-etic（形容詞化）
growl	うなる	語呂合わせ	犬が「グルル」とうなる
expiration	満了	語源／語根	ex（外へ）＋spir（息）＋-ation（状態）
perfunctory	いい加減な	語源／語根	per（通して）＋funct（行う）＋-ory（形容詞化）
forerunner	先駆者	語源／語根	fore（前）＋run（走る）＋-er（者）
influenza	インフルエンザ	語源／語根	in（中へ）＋flu（流れる）＋-enza（病）
prevail	普及する	語源／語根	pre（前）＋vail（強い）
ascribe	〜に帰する	語法	ascribe A to B（AをBのせいにする）【頻出】
right angle	直角	語法	at a right angle（直角に）【頻出】
comply	従う	語法	comply with（〜に従う）【頻出】
enhance	高める	語源／語根	en（中に）＋hance（高く）
ponder	熟考する	語源／語根	ponder（重さ）＋-er（動詞化）
timid	臆病な	語源／語根	tim（恐れ）＋-id（形容詞化）
bill	法案	語法	pass a bill（法案を通す）【頻出】
hoist	持ち上げる	語法	hoist a flag（旗を掲げる）【頻出】
pest	害虫	語呂合わせ	ペストのように害をなす虫
obese	肥満の	語源／語根	ob（完全に）＋es（食べる）
fleet	艦隊	語呂合わせ	フリート艦隊が海を進む
manifest	明らかな	語源／語根	mani（手）＋fest（打つ）
foreshadow	予示する	語源／語根	fore（前）＋shadow（影）
menace	脅威	語法	pose a menace（脅威を与える）【頻出】
ascend	登る	語源／語根	a（向かって）＋scend（登る）
industrious	勤勉な	語呂合わせ	工場で働く姿が勤勉だ
trivial	ささいな	語源／語根	tri（３つ）＋vial（道）
furor	熱狂	語源／語根	fur（怒り）＋-or（状態）
indulge	甘やかす	語法	indulge in（〜にふける）【頻出】
capricious	気まぐれな	語源／語根	capr（ヤギ）＋-ic（形容詞化）
introvert	内向的な人	語源／語根	intro（内へ）＋vert（回る）
retract	撤回する	語源／語根	re（後ろに）＋tract（引く）
waive	放棄する	語法	waive a right（権利を放棄する）【頻出】
monetary	金銭的な	語源／語根	monet（貨幣）＋-ary（形容詞化）
concord	一致	語源／語根	con（共に）＋cord（心）
rebel	反逆者	語源／語根	re（逆らって）＋bel（戦う）
prototype	原型	語源／語根	proto（最初の）＋type（型）
finite	有限の	語源／語根	fin（終わり）＋-ite（形容詞化）
detached	分離した	語源／語根	de（離れて）＋tach（付ける）
criterion	基準	語源／語根	crit（判断）＋-ion（名詞化）
satirical	風刺的な	語源／語根	satir（詩）＋-ical（形容詞化）
bold	大胆な	語法	bold move（大胆な行動）【頻出】
compromise	妥協する	語法	reach a compromise（妥協に達する）【頻出】
hurl	投げつける	語法	hurl insults（侮辱を投げかける）【頻出】
attribute	属性	語源／語根	at（〜に）＋tribut（与える）
turbulence	乱気流	語源／語根	turb（かき乱す）＋-ulence（状態）
principal	主要な	紛らわしい語	紛らわしい語 principle（原則）
concur	同意する	語法	concur with（〜に同意する）【頻出】
install	設置する	語法	install software（ソフトをインストールする）【頻出】
erroneous	誤った	語源／語根	err（間違う）＋-oneous（形容詞化）
mandate	権限	語法	mandate to（〜への権限）【頻出】
still	静止した	語法	be still（静止している）【頻出】
rigor	厳しさ	語源／語根	rig（固い）＋-or（状態）
arduously	骨を折って	語源／語根	ard（燃える）＋-uous（形容詞化）＋-ly（副詞化）
imposing	印象的な	語源／語根	im（上に）＋pos（置く）
inertia	慣性	語源／語根	in（中へ）＋ert（動く）
texture	質感	語源／語根	text（織る）＋-ure（名詞化）
imprudent	軽率な	語源／語根	im（否定）＋prud（賢明）＋-ent（形容詞化）
perspire	汗をかく	語源／語根	per（通して）＋spir（息）＋-e（動詞化）
extol	称賛する	語源／語根	ex（外へ）＋tol（持ち上げる）
irreparable	修復不可能な	語源／語根	ir（否定）＋repar（修復）＋-able（可能）
emit	放出する	語源／語根	e（外へ）＋mit（送る）
withhold	差し控える	語法	withhold information（情報を差し控える）【頻出】
dump	投棄する	語法	dump waste（廃棄物を投棄する）【頻出】
consent	同意	語法	consent to（〜に同意する）【頻出】
renewal	更新	語源／語根	re（再び）＋new（新しい）
expedite	促進する	語源／語根	ex（外へ）＋ped（足）＋-ite（動詞化）
notorious	悪名高い	語源／語根	not（知る）＋-orious（形容詞化）
bedrock	基盤	語呂合わせ	ベッドの下の岩が基盤だ
pathology	病理学	語源／語根	path（病）＋log（学問）＋-y（名詞化）
scramble	奪い合う	語法	scramble for（〜を奪い合う）【頻出】
didactic	教訓的な	語源／語根	didact（教える）＋-ic（形容詞化）
forgo	控える	語法	forgo a pleasure（楽しみを控える）【頻出】
beset	悩ませる	語法	beset by（〜に悩まされる）【頻出】
aesthetic	美的な	語源／語根	aesthet（感覚）＋-ic（形容詞化）
susceptible	影響を受けやすい	語法	susceptible to（〜に影響を受けやすい）【頻出】
compulsion	強制	語源／語根	com（共に）＋puls（押す）＋-ion（名詞化）
spectrum	範囲	語源／語根	spect（見る）＋-rum（名詞化）
partisan	支持者	語源／語根	part（部分）＋-isan（者）
hug	抱きしめる	語呂合わせ	ハグで抱きしめる
metabolism	代謝	語源／語根	meta（変化）＋bol（投げる）＋-ism（名詞化）
frigid	極寒の	語源／語根	frig（冷たい）＋-id（形容詞化）
pervasive	広がる	語源／語根	per（通して）＋vas（行く）＋-ive（形容詞化）
retreat	撤退する	語法	retreat from（〜から撤退する）【頻出】
doom	運命づける	語源／語根	doom（運命）
apparatus	装置	語源／語根	appar（準備）＋-atus（名詞化）
erupt	噴火する	語源／語根	e（外へ）＋rupt（破裂）
arbitrary	恣意的な	語源／語根	arbitr（判断）＋-ary（形容詞化）
supplementary	補足的な	語源／語根	supplement（補う）＋-ary（形容詞化）
commitment	献身	語源／語根	com（共に）＋mit（送る）＋-ment（名詞化）
literacy	識字	語源／語根	liter（文字）＋-acy（状態）
aggravate	悪化させる	語源／語根	ag（〜の方へ）＋grav（重い）＋-ate（動詞化）
redefine	再定義する	語源／語根	re（再び）＋define（定義する）
heed	注意を払う	語法	pay heed to（〜に注意を払う）【頻出】
apprehend	逮捕する	語源／語根	ap（〜へ）＋prehend（つかむ）
roost	止まり木	語源／語根	roost（止まり木）
ignite	点火する	語源／語根	ign（火）＋-ite（動詞化）
adversary	敵	語源／語根	ad（〜に）＋vers（向く）＋-ary（者）
denounce	非難する	語源／語根	de（下に）＋nounce（述べる）
particle	粒子	語源／語根	part（部分）＋-icle（小さい）
foe	敵	紛らわしい語	紛らわしい語 faux（偽の）
abbreviate	〜を短縮する	語源／語根	ab（離れて）＋[ラテン] brevis（短い）＋-ate（する）
